Subj	ROI	Cond	Y
01	lh_S_collat_transv_ant	prestim	0.0683157798456294
01	lh_S_collat_transv_ant	stim	0.162036338500868
01	lh_S_collat_transv_post	prestim	0.0623099818116354
01	lh_S_collat_transv_post	stim	0.110764531047982
01	lh_S_front_inf	prestim	0.068084019449125
01	lh_S_front_inf	stim	0.297859549768904
01	lh_S_front_middle	prestim	0.051602106000193
01	lh_S_front_middle	stim	0.112087297077418
01	lh_S_front_sup	prestim	0.0911248950361734
01	lh_S_front_sup	stim	0.116757398938637
01	lh_S_interm_prim-Jensen	prestim	0.0834043633829967
01	lh_S_interm_prim-Jensen	stim	0.0941357475343392
01	lh_S_intrapariet_and_P_trans	prestim	0.0669285475909117
01	lh_S_intrapariet_and_P_trans	stim	0.10057361007942
01	lh_S_oc-temp_lat	prestim	0.08263386677501
01	lh_S_oc-temp_lat	stim	0.281294622502665
01	lh_S_oc-temp_med_and_Lingual	prestim	0.0662417246451917
01	lh_S_oc-temp_med_and_Lingual	stim	0.216599529339305
01	lh_S_oc_middle_and_Lunatus	prestim	0.0962167259229871
01	lh_S_oc_middle_and_Lunatus	stim	0.0888406738287447
01	lh_S_oc_sup_and_transversal	prestim	0.0755651800512595
01	lh_S_oc_sup_and_transversal	stim	0.0638530063926392
01	lh_S_occipital_ant	prestim	0.0682046676825503
01	lh_S_occipital_ant	stim	0.112148848070848
01	lh_S_orbital-H_Shaped	prestim	0.0651865770062316
01	lh_S_orbital-H_Shaped	stim	0.177882643295941
01	lh_S_orbital_lateral	prestim	0.0857140195590022
01	lh_S_orbital_lateral	stim	0.0806023452601179
01	lh_S_orbital_med-olfact	prestim	0.0723687692659335
01	lh_S_orbital_med-olfact	stim	0.256927749786696
01	lh_S_parieto_occipital	prestim	0.0714222747537741
01	lh_S_parieto_occipital	stim	0.095909334063113
01	lh_S_pericallosal	prestim	0.0738289051568131
01	lh_S_pericallosal	stim	0.138480505912832
01	lh_S_postcentral	prestim	0.069962373989021
01	lh_S_postcentral	stim	0.142327792839639
01	lh_S_precentral-inf-part	prestim	0.0914983249175405
01	lh_S_precentral-inf-part	stim	0.336277176117314
01	lh_S_precentral-sup-part	prestim	0.0962188122896719
01	lh_S_precentral-sup-part	stim	0.0639631092126899
01	lh_S_suborbital	prestim	0.0676336831701009
01	lh_S_suborbital	stim	0.0705459570139492
01	lh_S_subparietal	prestim	0.0712465661558327
01	lh_S_subparietal	stim	0.119104868399286
01	lh_S_temporal_inf	prestim	0.0642338690977321
01	lh_S_temporal_inf	stim	0.147411168951922
01	lh_S_temporal_sup	prestim	0.0525785639865537
01	lh_S_temporal_sup	stim	0.141201848101326
01	lh_S_temporal_transverse	prestim	0.0814760062522732
01	lh_S_temporal_transverse	stim	0.446093965647957
01	rh_G_Ins_lg_and_S_cent_ins	prestim	0.0974240977628157
01	rh_G_Ins_lg_and_S_cent_ins	stim	0.107150940629571
01	rh_G_and_S_cingul-Ant	prestim	0.0703528926864532
01	rh_G_and_S_cingul-Ant	stim	0.0811961262737946
01	rh_G_and_S_cingul-Mid-Ant	prestim	0.0867273300126353
01	rh_G_and_S_cingul-Mid-Ant	stim	0.11597120698388
01	rh_G_and_S_cingul-Mid-Post	prestim	0.0530508169021214
01	rh_G_and_S_cingul-Mid-Post	stim	0.0766758634184057
01	rh_G_and_S_frontomargin	prestim	0.0684035220182898
01	rh_G_and_S_frontomargin	stim	0.110961821870929
01	rh_G_and_S_occipital_inf	prestim	0.0603875824185719
01	rh_G_and_S_occipital_inf	stim	0.0803562117890007
01	rh_G_and_S_paracentral	prestim	0.0831659861627938
01	rh_G_and_S_paracentral	stim	0.101687867858002
01	rh_G_and_S_subcentral	prestim	0.0899188990061595
01	rh_G_and_S_subcentral	stim	0.331722040025758
01	rh_G_and_S_transv_frontopol	prestim	0.0646912727378513
01	rh_G_and_S_transv_frontopol	stim	0.0816486234730678
01	rh_G_cingul-Post-dorsal	prestim	0.0712806950609453
01	rh_G_cingul-Post-dorsal	stim	0.097574321938957
01	rh_G_cingul-Post-ventral	prestim	0.0908236081162165
01	rh_G_cingul-Post-ventral	stim	0.133760897329593
01	rh_G_cuneus	prestim	0.0721071495514419
01	rh_G_cuneus	stim	0.0716461535939552
01	rh_G_front_inf-Opercular	prestim	0.0787624554324926
01	rh_G_front_inf-Opercular	stim	0.119625523544586
01	rh_G_front_inf-Orbital	prestim	0.0819869795341764
01	rh_G_front_inf-Orbital	stim	0.131184161347025
01	rh_G_front_inf-Triangul	prestim	0.0731312636702305
01	rh_G_front_inf-Triangul	stim	0.150926695093217
01	rh_G_front_middle	prestim	0.0586270594827302
01	rh_G_front_middle	stim	0.110401539169372
01	rh_G_front_sup	prestim	0.0579774783648341
01	rh_G_front_sup	stim	0.0999743798583069
01	rh_G_insular_short	prestim	0.0935698694844578
01	rh_G_insular_short	stim	0.077848209503382
01	rh_G_oc-temp_lat-fusifor	prestim	0.089943575402956
01	rh_G_oc-temp_lat-fusifor	stim	0.105886548710997
01	rh_G_oc-temp_med-Lingual	prestim	0.0593585381971967
01	rh_G_oc-temp_med-Lingual	stim	0.071004766934208
01	rh_G_oc-temp_med-Parahip	prestim	0.102291271444085
01	rh_G_oc-temp_med-Parahip	stim	0.0866175752102424
01	rh_G_occipital_middle	prestim	0.0677345092903007
01	rh_G_occipital_middle	stim	0.0707708431602696
01	rh_G_occipital_sup	prestim	0.0567366574917831
01	rh_G_occipital_sup	stim	0.0736598852160951
01	rh_G_orbital	prestim	0.0843626393514845
01	rh_G_orbital	stim	0.20633814313315
01	rh_G_pariet_inf-Angular	prestim	0.0664929228177174
