Subj	ROI	Y	baseline_avg
01	lh_G_Ins_lg_and_S_cent_ins	-0.209566973690787	0.299908798919079
01	rh_G_Ins_lg_and_S_cent_ins	0.0145921822734927	0.105493614690131
01	lh_G_and_S_cingul-Ant	-0.0208171669984409	0.083544351363807
01	rh_G_and_S_cingul-Ant	-0.0115046152000834	0.0930556612523754
01	lh_G_and_S_cingul-Mid-Ant	-0.0755847876410144	0.178051384228954
01	rh_G_and_S_cingul-Mid-Ant	0.0431140716138516	0.0933438248183309
01	lh_G_and_S_cingul-Mid-Post	-0.0236457734867552	0.184493479343846
01	rh_G_and_S_cingul-Mid-Post	-0.0080890853981596	0.0883508744140468
01	lh_G_and_S_frontomargin	0.0735569975274213	0.0728827989993984
01	rh_G_and_S_frontomargin	0.000289778960563689	0.100647327410333
01	lh_G_and_S_occipital_inf	0.00630058348802932	0.140344743921382
01	rh_G_and_S_occipital_inf	0.0355982111236321	0.093994200780332
01	lh_G_and_S_paracentral	0.0251719401274754	0.0768590874025507
01	rh_G_and_S_paracentral	0.0911758414553251	0.0781411129212251
01	lh_G_and_S_subcentral	-0.0929899810071279	0.276243234185613
01	rh_G_and_S_subcentral	-0.0477675290743273	0.296625504917918
01	lh_G_and_S_transv_frontopol	0.0562952150190037	0.0889919817301504
01	rh_G_and_S_transv_frontopol	0.0523301028945877	0.0724374617020302
01	lh_G_cingul-Post-dorsal	0.00430783430021153	0.0762078721221665
01	rh_G_cingul-Post-dorsal	0.0308502995890976	0.0776290699939059
01	lh_G_cingul-Post-ventral	-0.0232960114004607	0.194247139692008
01	rh_G_cingul-Post-ventral	-0.079292204657529	0.149530096305938
01	lh_G_cuneus	-0.0318697464715266	0.0657080052736578
01	rh_G_cuneus	-0.0609762727925927	0.0679271877720235
01	lh_G_front_inf-Opercular	-0.0303093438926727	0.143379025219018
01	rh_G_front_inf-Opercular	-0.0582474881860045	0.139863841734547
01	lh_G_front_inf-Orbital	-0.0121051778531869	0.0892961209183039
01	rh_G_front_inf-Orbital	-0.101558632568207	0.13269685151159
01	lh_G_front_inf-Triangul	0.145279517781191	0.186387638029474
01	rh_G_front_inf-Triangul	0.0405209798881613	0.127464542636387
01	lh_G_front_middle	0.0713629133867998	0.0980111839788907
01	rh_G_front_middle	0.0121887683206545	0.116761971755174
01	lh_G_front_sup	-0.101289217469278	0.122189295763811
01	rh_G_front_sup	0.00632415372900554	0.0891370679576559
01	lh_G_insular_short	-0.00391539053312076	0.200742536832043
01	rh_G_insular_short	0.0815581258562803	0.0588720123537565
01	lh_G_oc-temp_lat-fusifor	-0.0794624435096887	0.185040852327059
01	rh_G_oc-temp_lat-fusifor	-0.0351072827706756	0.104033361885544
01	lh_G_oc-temp_med-Lingual	0.0045395520612043	0.11805949759044
01	rh_G_oc-temp_med-Lingual	-0.0831756570681672	0.0838855108835305
01	lh_G_oc-temp_med-Parahip	0.116695167020577	0.111650932513553
01	rh_G_oc-temp_med-Parahip	0.00455359770662126	0.103693449922372
01	lh_G_occipital_middle	-0.0834742196352369	0.0727072963469648
01	rh_G_occipital_middle	-0.0615698577125873	0.0719693421155072
01	lh_G_occipital_sup	0.0354041175295435	0.117364104158511
01	rh_G_occipital_sup	-0.0301144489046964	0.0546452878238834
01	lh_G_orbital	-0.110857071890846	0.221788976491869
01	rh_G_orbital	-0.00707134950886185	0.185804687959171
01	lh_G_pariet_inf-Angular	-0.077908720350919	0.146374495154399
01	rh_G_pariet_inf-Angular	0.0195849118964668	0.0665544903417953
01	lh_G_pariet_inf-Supramar	-0.0256363613844268	0.377954763203075
01	rh_G_pariet_inf-Supramar	-0.0550639225037742	0.277890431754601
01	lh_G_parietal_sup	-0.018734963037603	0.127200490219394
01	rh_G_parietal_sup	0.0332997273338089	0.0672089727602821
01	lh_G_postcentral	-0.042572020126848	0.331609328398837
01	rh_G_postcentral	0.0695594039346972	0.257449685471156
01	lh_G_precentral	-0.104231843006439	0.246398601275719
01	rh_G_precentral	0.0141282614121462	0.177048280970005
01	lh_G_precuneus	-0.0886695229447226	0.0758156183058718
01	rh_G_precuneus	-0.139895190081124	0.0784235776471711
01	lh_G_rectus	0.0542575309304873	0.0740088149965434
01	rh_G_rectus	-0.0646678878695648	0.118677616937894
01	lh_G_subcallosal	-0.0341910341135931	0.0725919963418441
01	rh_G_subcallosal	-0.158140911399111	0.19146140939781
01	lh_G_temp_sup-G_T_transv	-0.0549780345498844	0.42460671932199
01	rh_G_temp_sup-G_T_transv	-0.0981038817661192	0.373793893328312
01	lh_G_temp_sup-Lateral	0.0236532041907219	0.117893237085021
01	rh_G_temp_sup-Lateral	0.0349384851408914	0.142629078913225
01	lh_G_temp_sup-Plan_polar	-0.107679641452664	0.223165912254374
01	rh_G_temp_sup-Plan_polar	0.0746769922932796	0.0988110423376433
01	lh_G_temp_sup-Plan_tempo	-0.00168183977610728	0.299127060692722
01	rh_G_temp_sup-Plan_tempo	-0.0758532893417699	0.232050251008761
01	lh_G_temporal_inf	-0.00116375357202948	0.166776060747876
01	rh_G_temporal_inf	-0.0378639972084788	0.139512483883563
01	lh_G_temporal_middle	0.0288777545278485	0.175540604781725
01	rh_G_temporal_middle	0.0086167642981952	0.0593349763361649
01	lh_Lat_Fis-ant-Horizont	-6.62775635358881e-05	0.0988520640120701
01	rh_Lat_Fis-ant-Horizont	0.0434106700817135	0.0809277794632353
01	lh_Lat_Fis-ant-Vertical	0.00255895674036369	0.232609376838456
01	rh_Lat_Fis-ant-Vertical	0.0115236736996999	0.154705997237318
01	lh_Lat_Fis-post	0.0154032727071332	0.137200424518682
01	rh_Lat_Fis-post	0.070790646893398	0.107571281580296
01	lh_Pole_occipital	0.0185258535040481	0.0775910254255387
01	rh_Pole_occipital	-0.0263414215524607	0.0803803001256603
01	lh_Pole_temporal	-0.100505440489715	0.136076301298447
01	rh_Pole_temporal	0.079980395706424	0.0734382237731872
01	lh_S_calcarine	-0.0525647899146382	0.170586025289346
01	rh_S_calcarine	0.0131376512462934	0.0988111940567432
01	lh_S_central	-0.0171852297431602	0.180544524690056
01	rh_S_central	-0.042161346860501	0.0979306037549524
01	lh_S_cingul-Marginalis	0.115685434072467	0.122629878529813
01	rh_S_cingul-Marginalis	0.0991785461715313	0.109945528409253
01	lh_S_circular_insula_ant	-0.0234039900058813	0.101654922284634
01	rh_S_circular_insula_ant	-0.0882776304640097	0.14156656658964
01	lh_S_circular_insula_inf	0.0961859059575732	0.108125815573487
01	rh_S_circular_insula_inf	-0.189243698490916	0.23843390044065
01	lh_S_circular_insula_sup	-0.154598984173285	0.24978602747784
01	rh_S_circular_insula_sup	-0.0742562821464008	0.174219184798703
01	lh_S_collat_transv_ant	0.11084205682585	0.156256574515225
01	rh_S_collat_transv_ant	-0.108977796549313	0.129316157373826
01	lh_S_collat_transv_post	-0.0941477281405401	0.119451790420337
01	rh_S_collat_transv_post	0.0433569000451816	0.062044719966275
01	lh_S_front_inf	-0.0486350282567014	0.29448042824192
01	rh_S_front_inf	0.134162765785655	0.201824850551282
01	lh_S_front_middle	0.052010418256859	0.109302918783233
01	rh_S_front_middle	-0.0367232163099158	0.0779325899651818
01	lh_S_front_sup	-0.00993778754432842	0.138246520580009
01	rh_S_front_sup	-0.0822993618765077	0.0828857700263393
01	lh_S_interm_prim-Jensen	0.00448174686547069	0.075980723146634
