label,mean_effect,pplus,lower95,upper95,significant,effect_direction
rh_G_and_S_cingul-Ant,0.0056,0.8804,-0.0044,0.0155,FALSE,positive
rh_G_and_S_cingul-Mid-Ant,0.0059,0.8949,-0.0038,0.0157,FALSE,positive
rh_G_and_S_cingul-Mid-Post,0.0057,0.8895,-0.0042,0.0156,FALSE,positive
rh_G_and_S_frontomargin,0.0057,0.8878,-0.0039,0.0157,FALSE,positive
rh_G_and_S_occipital_inf,0.0054,0.8698,-0.0048,0.0153,FALSE,positive
rh_G_and_S_paracentral,0.0053,0.8666,-0.005,0.015,FALSE,positive
rh_G_and_S_subcentral,0.0076,0.9052,-0.0043,0.022,FALSE,positive
rh_G_and_S_transv_frontopol,0.0059,0.8952,-0.0039,0.0159,FALSE,positive
rh_G_cingul-Post-dorsal,0.0058,0.8943,-0.0039,0.0157,FALSE,positive
rh_G_cingul-Post-ventral,0.0057,0.8876,-0.0043,0.0156,FALSE,positive
rh_G_cuneus,0.0055,0.8749,-0.0044,0.0155,FALSE,positive
rh_G_front_inf-Opercular,0.0063,0.905,-0.0035,0.0166,FALSE,positive
rh_G_front_inf-Orbital,0.0058,0.8948,-0.0038,0.0159,FALSE,positive
rh_G_front_inf-Triangul,0.0057,0.8902,-0.0041,0.0155,FALSE,positive
rh_G_front_middle,0.0056,0.886,-0.0043,0.0155,FALSE,positive
rh_G_front_sup,0.0056,0.8808,-0.0044,0.0155,FALSE,positive
rh_G_Ins_lg_and_S_cent_ins,0.0058,0.8957,-0.0038,0.0157,FALSE,positive
rh_G_insular_short,0.0058,0.8902,-0.004,0.0157,FALSE,positive
rh_G_oc-temp_lat-fusifor,0.0058,0.8933,-0.004,0.0157,FALSE,positive
rh_G_oc-temp_med-Lingual,0.0052,0.8658,-0.0048,0.0149,FALSE,positive
rh_G_oc-temp_med-Parahip,0.0059,0.8963,-0.0039,0.0159,FALSE,positive
rh_G_occipital_middle,0.0053,0.869,-0.0049,0.015,FALSE,positive
rh_G_occipital_sup,0.0054,0.8686,-0.0049,0.0154,FALSE,positive
rh_G_orbital,0.0069,0.9114,-0.0035,0.0187,FALSE,positive
rh_G_pariet_inf-Angular,0.0059,0.8988,-0.0037,0.0158,FALSE,positive
rh_G_pariet_inf-Supramar,0.0073,0.9095,-0.0039,0.0211,FALSE,positive
rh_G_parietal_sup,0.0055,0.8755,-0.0046,0.0155,FALSE,positive
rh_G_postcentral,0.0073,0.9085,-0.0038,0.0203,FALSE,positive
rh_G_precentral,0.0061,0.9028,-0.0036,0.0161,FALSE,positive
